,CAC_pct,DAX_pct,FTSE_pct,Hang Seng_pct,NIFTY_pct,Nikkei_pct,Shanghai Composite_pct,CAC_shock,DAX_shock,FTSE_shock,Hang Seng_shock,NIFTY_shock,Nikkei_shock,Shanghai Composite_shock,Weighted_Global_Move,Weighted_Shock_Score,Global_Volatility_5d,Europe_vs_Asia
2015-08-27 00:00:00+00:00,-1.397854,-1.290372,-1.678911,3.596463,2.01621,1.075318,5.339515,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1625451499999997,0.3,2.728926556449916,-4.462588833333333
2015-08-28 00:00:00+00:00,3.490972,3.182722,3.559001,-1.035547,0.666755,3.025022,4.824214,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9957943,0.25,2.865075416949975,1.5407873333333335
2015-08-31 00:00:00+00:00,0.36387,-0.16567,0.902776,0.269241,-0.383037,-1.284677,-0.81563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25583174999999997,0.0,1.2016258708572187,0.9205177500000001
2015-09-01 00:00:00+00:00,-0.474419,-0.379378,0.0,-2.238751,-2.326468,-3.836806,-1.227768,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.260466725,0.55,1.6429755651685574,2.12284925
2015-09-02 00:00:00+00:00,-2.402563,-2.377217,-3.031417,-1.18237,-0.884298,-0.386933,-0.203909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.04773095,0.05,1.7254123264647576,-1.9393548333333328
2015-09-03 00:00:00+00:00,0.303001,0.32429,0.409339,0.0,1.373591,0.480731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657695275,0.0,1.3197572410968623,-0.11803716666666664
2015-09-04 00:00:00+00:00,2.170623,2.684999,1.821385,-0.450587,-2.146877,-2.1462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1033970999999998,0.0,1.0848224668498319,3.4115849999999996
2015-09-08 00:00:00+00:00,-2.808678,-2.711806,-2.441036,3.281847,1.712576,-2.426535,2.922718,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.19167625,0.3,1.4110805152180208,-4.026491500000001
2015-09-09 00:00:00+00:00,1.068648,1.610014,1.178699,4.103062,1.695446,7.708863,2.291068,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.30588135,0.44999999999999996,1.8228946054893904,-2.6638227499999996
2015-09-10 00:00:00+00:00,1.442504,0.309207,1.348821,-2.570162,-0.390095,-2.508673,-1.393611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.261834275,0.0,1.873123979052772,2.7491459166666665
